Herd	Year	NDVI_May	NDVI_June_August
BAT	1982	0.2144	0.3722678696
BAT	1983	0.20448	-0.997748265
BAT	1984	0.2465	1.5864093517
BAT	1985	0.24444	0.6420829985
BAT	1986	0.20046	-0.3630283179
BAT	1987	0.22399	0.746385831
BAT	1988	0.23335	2.4405365018
BAT	1989	0.23381	2.0142064516
BAT	1990	0.21823	0.6311286281
BAT	1991	0.28747	2.9292371373
BAT	1992	0.17922	-1.1253100255
BAT	1993	0.1805	-2.2195256185
BAT	1994	0.32912	3.6262353044
BAT	1995	0.21673	-0.5656627902
BAT	1996	0.24721	1.3523178454
BAT	1997	0.20766	2.3206130494
BAT	1998	0.33149	4.2732489963
BAT	1999	0.20955	0.9904763529
BAT	2000	0.2158	2.2848364175
BAT	2001	0.26769	3.3542503069
BAT	2002	0.26488	4.4669811557
BAT	2003	0.27259	3.6826249458
BAT	2004	0.26535	2.61699392
BAT	2005	0.24289	1.3297473899
BAT	2006	0.23225	6.0450357803
BAT	2007	0.2425	3.0462987015
BAT	2008	0.22031	1.799739909
BAT	2009	0.16803	-0.696957788
BAT	2010	0.19933	3.1293064947
BAT	2011	0.17055	3.765251871
BEV	1982	0.256095677	0.8665627102
BEV	1983	0.2142549428	-1.0129169088
BEV	1984	0.2692934573	1.9251201659
BEV	1985	0.2529497744	0.8120161844
BEV	1986	0.2594772994	1.0422972947
BEV	1987	0.2273825813	0.0367651979
BEV	1988	0.2458166208	1.8368132956
BEV	1989	0.2512784764	2.1941482571
BEV	1990	0.2454421606	0.8854815266
BEV	1991	0.2679762568	3.3272775321
BEV	1992	0.1999968255	-1.734422311
BEV	1993	0.2068029514	-1.4894371107
BEV	1994	0.3280006579	3.1378380908
BEV	1995	0.2414728959	-0.0232679422
BEV	1996	0.2843001914	1.9897605086
BEV	1997	0.2202620137	1.7985913125
BEV	1998	0.3283712588	4.0061135536
BEV	1999	0.2624002939	2.3733236995
BEV	2000	0.1924046443	0.7530126652
BEV	2001	0.3052674845	5.8377395245
BEV	2002	0.2498713561	3.0266096916
BEV	2003	0.2688915289	3.7789146114
BEV	2004	0.2491190342	2.6417883109
BEV	2005	0.2498098349	1.3177333263
BEV	2006	0.2363603234	5.2587339387
BEV	2007	0.2583524234	3.8408333397
BEV	2008	0.2277527108	1.7894698487
BEV	2009	0.1885857241	-0.4363594109
BEV	2010	0.2001709147	3.3780292571
BEV	2011	0.1593332444	2.5350276568
BLE	1982	0.1273811169	-0.0009264284
BLE	1983	0.14496364	-0.2896364266
BLE	1984	0.2006653396	1.7756925219
BLE	1985	0.1793122523	-0.2723375038
BLE	1986	0.1276990911	-1.3762457606
BLE	1987	0.1601186845	-0.6283228695
BLE	1988	0.1883499231	2.6007231382
BLE	1989	0.1621533219	1.2325371122
BLE	1990	0.1713500641	0.8711346142
BLE	1991	0.209712636	1.2246262574
BLE	1992	0.1569222916	-0.2912190304
BLE	1993	0.1476029817	-1.2368490395
BLE	1994	0.2183429642	3.1607699127
BLE	1995	0.1898144912	1.2315015898
BLE	1996	0.1786734799	1.6696566601
BLE	1997	0.1534107299	1.1976672328
BLE	1998	0.2271942842	4.0025563289
BLE	1999	0.1480599986	0.8646620208
BLE	2000	0.1550905298	1.8064415816
BLE	2001	0.1727953824	1.7929278124
BLE	2002	0.2031190914	3.8573723797
BLE	2003	0.1918494338	2.2966998477
BLE	2004	0.1973021208	3.4246410854
BLE	2005	0.173781116	3.0433684632
BLE	2006	0.1729050976	5.0400509699
BLE	2007	0.1672804722	2.9206496406
BLE	2008	0.1475151501	2.0792199335
BLE	2009	0.084488572	-1.8521287418
BLE	2010	0.1238722532	3.3649389043
BLE	2011	0.0883462231	4.1408520133
BLW	1982	0.1831324631	-0.2878664453
BLW	1983	0.238658056	0.2582525091
BLW	1984	0.2763464264	0.8096002404
BLW	1985	0.2651762427	-0.8162522483
BLW	1986	0.2027823764	-1.1222888243
BLW	1987	0.2303824143	-0.2868173224
BLW	1988	0.2696796554	0.863694013
BLW	1989	0.2464210063	0.7982102545
BLW	1990	0.2428475206	0.5391429838
BLW	1991	0.3245884064	1.112520349
BLW	1992	0.214925273	-0.4390805285
BLW	1993	0.2473017007	0.287167743
BLW	1994	0.2910641052	2.0349860963
BLW	1995	0.2922190635	2.1838585772
BLW	1996	0.2672504929	1.316591207
BLW	1997	0.2233874697	0.3305345347
BLW	1998	0.3435024921	3.5922436474
BLW	1999	0.2345844245	0.5450415832
BLW	2000	0.2069895556	0.5684942877
BLW	2001	0.2806065345	3.6021019736
BLW	2002	0.2919367127	3.6302268255
BLW	2003	0.2916637081	3.4801319191
BLW	2004	0.3072705252	4.8109935461
BLW	2005	0.2653911226	3.8671703193
BLW	2006	0.249602768	4.4199178459
BLW	2007	0.2553412926	3.394891716
BLW	2008	0.2468371614	4.3668217953
BLW	2009	0.1903763513	-0.5197975253
BLW	2010	0.217724538	4.1256249814
BLW	2011	0.193346308	4.6377362396
CAH	1982	0.2276931219	0.2167508334
CAH	1983	0.270351179	0.0375394748
CAH	1984	0.2983075138	-0.1184951347
CAH	1985	0.3196494978	-0.0250549418
CAH	1986	0.2432820208	-1.3919141829
CAH	1987	0.2997616516	0.0623527626
CAH	1988	0.3132381802	0.1468893881
CAH	1989	0.2578418877	-0.4214461351
CAH	1990	0.4036286612	2.9683826774
CAH	1991	0.3028848337	0.765326061
CAH	1992	0.290460107	0.1938645051
CAH	1993	0.3253473186	0.8175158753
CAH	1994	0.3048552844	0.8034761177
CAH	1995	0.3317402425	1.3177010548
CAH	1996	0.3536308719	1.6288530236
CAH	1997	0.2918757249	1.2311874293
CAH	1998	0.3748905608	2.1779066997
CAH	1999	0.278847443	1.1489538045
CAH	2000	0.2595941586	0.6857810758
CAH	2001	0.3131465269	4.4910825528
CAH	2002	0.3969165421	4.7376978397
CAH	2003	0.3154234653	3.7941475334
CAH	2004	0.3541786387	6.0889307585
CAH	2005	0.3052818207	3.2791233798
CAH	2006	0.2755405172	3.1552244043
CAH	2007	0.3100401889	4.9110364241
CAH	2008	0.2723551778	4.1357854259
CAH	2009	0.2228198165	2.3325585869
CAH	2010	0.2680128494	3.9849639286
CAH	2011	0.2431086391	4.0808702466
CBH	1982	0.3086288429	0.4054468171
CBH	1983	0.3714258788	0.8629004428
CBH	1984	0.4066357853	1.1329377349
CBH	1985	0.3668438682	-1.2919580354
CBH	1986	0.3233137714	-1.8630809991
CBH	1987	0.3345603071	-0.8908208465
CBH	1988	0.3781046104	1.2794167317
CBH	1989	0.3646082688	1.4993289149
CBH	1990	0.3825590215	2.8265738146
CBH	1991	0.4350279049	1.9596605057
CBH	1992	0.3207071327	-0.7948342996
CBH	1993	0.3920103111	2.0653807729
CBH	1994	0.4158743439	3.0561107248
CBH	1995	0.4211493341	3.2068477542
CBH	1996	0.3982377603	2.1473608601
CBH	1997	0.3948688768	2.7490013502
CBH	1998	0.4369744918	3.6883824228
CBH	1999	0.3538252657	1.5115521073
CBH	2000	0.3176413881	0.2535948258
CBH	2001	0.3647977809	3.4513459633
CBH	2002	0.3850510031	4.1753061309
CBH	2003	0.3868040184	4.1821107625
CBH	2004	0.3968540379	5.420943458
CBH	2005	0.3551524568	3.6473836318
CBH	2006	0.3367207133	4.1021039173
CBH	2007	0.3607433508	3.5589455858
CBH	2008	0.3335460357	4.2992214876
CBH	2009	0.300250775	0.2788335339
CBH	2010	0.3083388746	2.7459428381
CBH	2011	0.2889531917	3.2902856695
GRH	1982	0.111705354	0.7092494142
GRH	1983	0.1262498637	1.0966562083
GRH	1984	0.1582874775	1.8472944378
GRH	1985	0.1441534075	0.6429537682
GRH	1986	0.1310662755	-0.2434801597
GRH	1987	0.1220174691	-0.252804899
GRH	1988	0.1336067274	0.0850852012
GRH	1989	0.1402166084	2.13267878
GRH	1990	0.1322578084	0.1174177124
GRH	1991	0.1177587024	0.3003243082
GRH	1992	0.1104963381	-3.3484432583
GRH	1993	0.1603242311	1.1853978997
GRH	1994	0.1289485148	0.8169986858
GRH	1995	0.1592852006	2.3510870852
GRH	1996	0.1001513255	-0.7392434153
GRH	1997	0.1483422845	3.662490104
GRH	1998	0.1907657758	6.1693570332
GRH	1999	0.1439441541	3.0661791404
GRH	2000	0.1038883766	1.6869602124
GRH	2001	0.2029538311	4.0758320095
GRH	2002	0.1327778519	0.7487466671
GRH	2003	0.1726291667	2.3978799911
GRH	2004	0.1409700516	-0.1364644277
GRH	2005	0.1671150675	2.4783665147
GRH	2006	0.1337431061	2.7529481644
GRH	2007	0.1243812227	0.6171801763
GRH	2008	0.1474175663	6.0577389396
GRH	2009	0.1057548156	0.6234690557
GRH	2010	0.089470713	1.6080683098
GRH	2011	0.0824640439	0.6841226724
LRH	1982	0.0952633728	1.1944458493
LRH	1983	0.0947684769	0.5669220034
LRH	1984	0.126816834	1.7609399282
LRH	1985	0.1247406075	1.7205920899
LRH	1986	0.1033047571	-0.3800665789
LRH	1987	0.096293315	-0.8162352193
LRH	1988	0.1075510834	-0.5282614391
LRH	1989	0.1156697887	1.8796645693
LRH	1990	0.103609576	-0.2922159901
LRH	1991	0.094404073	0.8261774539
LRH	1992	0.0874899355	-3.7211848385
LRH	1993	0.1338947931	1.3829389756
LRH	1994	0.1068721341	0.3453963064
LRH	1995	0.126223184	1.9367664969
LRH	1996	0.0835102822	-0.402564928
LRH	1997	0.1221513877	3.2966256636
LRH	1998	0.1587486695	5.6358381896
LRH	1999	0.1130281284	2.016017371
LRH	2000	0.0791012277	0.891240155
LRH	2001	0.1677750675	4.3037293187
LRH	2002	0.1096285233	1.9167652306
LRH	2003	0.1422788746	2.3443664452
LRH	2004	0.1151878477	-0.2731666527
LRH	2005	0.1404013252	2.4630301479
LRH	2006	0.1122632738	2.9678396372
LRH	2007	0.0965968279	0.6248533735
LRH	2008	0.1284302987	6.3089216496
LRH	2009	0.0851956206	0.7641251676
LRH	2010	0.0756969107	2.1341373576
LRH	2011	0.0675395689	0.3192113926
PCH	1982	0.251062668	0.1346931006
PCH	1983	0.2887740957	0.2779350735
PCH	1984	0.3334243024	0.1090707
PCH	1985	0.3325015919	-0.0636996161
PCH	1986	0.2727845645	-1.1439398122
PCH	1987	0.3211376485	0.1821920071
PCH	1988	0.3404209525	0.5770779372
PCH	1989	0.3008102549	0.011346072
PCH	1990	0.4143795811	2.491564454
PCH	1991	0.366737032	0.9980022419
PCH	1992	0.2860463404	-0.4299239799
PCH	1993	0.3519789549	1.0060265824
PCH	1994	0.3539294544	0.7838107403
PCH	1995	0.3890531963	1.4818797906
PCH	1996	0.349517256	0.8912806035
PCH	1997	0.3248314313	0.9922080712
PCH	1998	0.406931408	2.6688003346
PCH	1999	0.313713376	1.1327985397
PCH	2000	0.2752748779	0.3281276857
PCH	2001	0.3271460188	3.5129658157
PCH	2002	0.4077489122	4.1743225724
PCH	2003	0.3460516291	3.6279592841
PCH	2004	0.3666392994	6.0363736606
PCH	2005	0.3386470674	3.5206074014
PCH	2006	0.3183832224	3.306993799
PCH	2007	0.3389891877	5.2002005163
PCH	2008	0.3149831281	4.5558544567
PCH	2009	0.2595598901	2.590884724
PCH	2010	0.321156606	4.6676644083
PCH	2011	0.3031289715	4.8565690394
QAM	1982	0.2009660617	0.5081439402
QAM	1983	0.1767679977	-0.7683495091
QAM	1984	0.2118771102	1.796327707
QAM	1985	0.2192906983	1.3607827586
QAM	1986	0.2144270967	0.4904222081
QAM	1987	0.1858268698	-0.7415950891
QAM	1988	0.2104006535	1.5871300454
QAM	1989	0.2011664786	1.6397915865
QAM	1990	0.2336215283	1.3983349435
QAM	1991	0.2227955347	3.1698555052
QAM	1992	0.166358287	-3.0890392744
QAM	1993	0.2096665832	0.7437391805
QAM	1994	0.23359615	2.8145447256
QAM	1995	0.2140179154	1.3515024132
QAM	1996	0.2422823499	2.7994803844
QAM	1997	0.2409788554	3.9873596774
QAM	1998	0.2564197423	3.9525276503
QAM	1999	0.2182170437	1.9758917913
QAM	2000	0.1526723091	-0.1101034898
QAM	2001	0.2710975992	6.1116804064
QAM	2002	0.2034172582	2.6526005306
QAM	2003	0.2524389247	4.9299709929
QAM	2004	0.1994108654	1.7074412837
QAM	2005	0.2051233699	1.5351509899
QAM	2006	0.1906618595	4.3819736697
QAM	2007	0.2180957317	3.2121205043
QAM	2008	0.1899980377	1.8945205734
QAM	2009	0.1537248556	-0.304701481
QAM	2010	0.1590450396	2.5046628036
QAM	2011	0.1569630357	2.0865585191
TCH	1982	0.2685576267	1.0973376448
TCH	1983	0.3143639148	-0.1585598129
TCH	1984	0.3021841086	-0.3568054667
TCH	1985	0.3507286061	-0.0411074057
TCH	1986	0.2781006954	-0.9990772911
TCH	1987	0.3463110411	0.6234577139
TCH	1988	0.3544785017	0.5432004586
TCH	1989	0.3054406397	-0.1643064055
TCH	1990	0.451282802	3.8922385047
TCH	1991	0.3319285426	1.9080275637
TCH	1992	0.3186426472	0.1891884314
TCH	1993	0.3421783066	0.6877931554
TCH	1994	0.3165995351	-0.1281599335
TCH	1995	0.3691466464	1.2505095932
TCH	1996	0.4000728817	2.0509014524
TCH	1997	0.3510880957	1.6610232129
TCH	1998	0.4031978907	2.1805772334
TCH	1999	0.3293527058	1.3835541432
TCH	2000	0.2813844619	0.9126084815
TCH	2001	0.3387719356	4.4592210651
TCH	2002	0.4357700836	5.6004799084
TCH	2003	0.3487695266	4.5812416905
TCH	2004	0.3965298166	6.1817594076
TCH	2005	0.3243857139	3.72225678
TCH	2006	0.2996738268	2.2538997955
TCH	2007	0.3373081589	4.8182227773
TCH	2008	0.299116157	3.8053666175
TCH	2009	0.2602073078	2.1121860283
TCH	2010	0.2968228386	3.691183625
TCH	2011	0.270339989	3.6201742817
WAH	1982	0.2894798107	1.3849703475
WAH	1983	0.340606951	-0.0558629489
WAH	1984	0.312317522	-0.3183206791
WAH	1985	0.354281374	-0.0651525873
WAH	1986	0.3014125496	-0.810964485
WAH	1987	0.3582263071	1.0429477438
WAH	1988	0.3758451461	1.0407031699
WAH	1989	0.3298652432	-0.0398032545
WAH	1990	0.4586600813	4.5864858299
WAH	1991	0.3440474815	2.6493785227
WAH	1992	0.3334215119	0.1981320204
WAH	1993	0.3550313441	0.6599974721
WAH	1994	0.3348442323	-0.3425155492
WAH	1995	0.3937932513	1.4862290681
WAH	1996	0.4104880924	2.171610655
WAH	1997	0.3851990479	2.1089935445
WAH	1998	0.3965308864	1.852646385
WAH	1999	0.3428910726	1.4402003355
WAH	2000	0.2911142341	1.2158836566
WAH	2001	0.3398227467	3.8387819166
WAH	2002	0.4394683345	5.7486663072
WAH	2003	0.3589587201	4.5609353691
WAH	2004	0.4058128232	6.2379088282
WAH	2005	0.3359498215	3.7512967876
WAH	2006	0.304746506	1.2722955692
WAH	2007	0.3427047859	4.5918175135
WAH	2008	0.3093530518	3.3348291463
WAH	2009	0.2775389551	1.5562901207
WAH	2010	0.3170274752	3.722975397
WAH	2011	0.2946779753	3.2519280173

