Line,InfectionStatus,RecombinantFraction
21,I,0.1826923077
21,I,0.1850393701
21,I,0.1856540084
21,I,0.1866666667
21,I,0.1904761905
21,I,0.1958762887
21,I,0.2180094787
21,I,0.2534246575
21,W,0.1288343558
21,W,0.163141994
21,W,0.1674208145
21,W,0.1746478873
21,W,0.175
21,W,0.1779661017
21,W,0.191588785
21,W,0.1961722488
21,W,0.2026578073
21,W,0.2032258065
40,I,0.1573426573
40,I,0.1614173228
40,I,0.1666666667
40,I,0.1693989071
40,I,0.1740890688
40,I,0.1779141104
40,I,0.1878980892
40,I,0.2110552764
40,I,0.2153846154
40,W,0.125
40,W,0.156424581
40,W,0.1564885496
40,W,0.1595744681
40,W,0.1602209945
40,W,0.1651376147
40,W,0.1694915254
40,W,0.1700404858
40,W,0.1710526316
40,W,0.180952381
40,W,0.1828793774
40,W,0.1888888889
40,W,0.1892857143
40,W,0.2123287671
40,W,0.2247706422
40,W,0.2340425532
45,I,0.1666666667
45,I,0.1736111111
45,I,0.1838565022
45,I,0.1862068966
45,I,0.1873015873
45,I,0.1875
45,I,0.188976378
45,I,0.1981707317
45,I,0.1993355482
45,I,0.2068965517
45,I,0.2077922078
45,I,0.2080745342
45,W,0.1481481481
45,W,0.1625
45,W,0.175862069
45,W,0.1859504132
45,W,0.1906779661
45,W,0.2007722008
45,W,0.2032967033
45,W,0.2033195021
45,W,0.213740458
73,I,0.1666666667
73,I,0.1812297735
73,I,0.1818181818
73,I,0.1850746269
73,I,0.2109090909
73,I,0.2179487179
73,I,0.2183098592
73,I,0.2339449541
73,W,0.1551724138
73,W,0.1573033708
73,W,0.1653543307
73,W,0.1678321678
73,W,0.1744680851
73,W,0.1802721088
73,W,0.1944444444
73,W,0.1952861953
73,W,0.1956521739
73,W,0.2
