Site,Band_number,TreeID,Species,Band_diameter_cm,BarckThickness,Watered,Date.equipped,Percent.good.data
BCI,TH14230,47027,Tabebuia guayacan,23.3,Thick,NO,6/25/2015,76
BCI,TH14231,19613,Pseudobombax septenatum,136.1,Thin,NO,6/24/2015,73
BCI,TH14234,19578,Spondias radlkoferi,63.8,Thin,NO,6/25/2015,100
BCI,TH14236,48702,Hura crepitans,137.5,Thin,NO,6/24/2015,75
BCI,TH14239,19164,Tabebuia rosea,39.3,Thick,NO,6/24/2015,100
BCI,TH14244,48704,Trichilia tuberculata,21,Thin,NO,6/23/2015,100
BCI,TH14245,35798,Tabebuia rosea,22.3,Thick,NO,6/24/2015,81
BCI,TH14248,19093,Tachigali versicolor,50.2,Thin,NO,6/24/2015,86
BCI,TH14252,19150,Hyeronyma alchorneoide,69.5,Thin,NO,6/25/2015,100
BCI,TH14253,24891,Trichilia tuberculata,34.9,Thin,NO,6/24/2015,89
BCI,TH14255,19053,Platymiscium pinnatum,50.6,Thick,NO,6/24/2015,0
BCI,TH14256,19700/46507,Tabebuia guayacan,54.4,Thick,NO,6/23/2015,97
BCI,TH14261,19103,Hura crepitans,67.1,Thin,NO,6/24/2015,100
BCI,TH14264,49155,Inga pezizifera,33.5,Thin,NO,6/23/2015,88
BCI,TH14266,19061,Tabebuia rosea,33.8,Thick,NO,6/25/2015,87
BCI,TH14269,48436,Virola sebifera,34.5,Thin,NO,6/26/2015,70
BCI,TH14270,19646,Tabebuia guayacan,80.3,Thick,NO,6/24/2015,100
BCI,TH14271,49157,Hura crepitans,91.1,Thin,NO,6/24/2015,0
BCI,TH14274,48699,Spondias radlkoferi,74.1,Thin,NO,6/25/2015,100
BCI,TH14275,19569,Virola sebifera,22,Thin,NO,6/26/2015,100
BCI,TH14277,35240,Trichilia tuberculata,42.25,Thin,NO,6/24/2015,86
BCI,TH14279,19032,Trichilia tuberculata,27.4,Thin,NO,6/23/2015,95
BCI,TH14281,19163,Tabebuia rosea,51.2,Thick,NO,6/25/2015,98
BCI,TH14283,19173,Tabebuia guayacan,59,Thick,NO,6/24/2015,98
BCI,TH14284,19090,Spondias radlkoferi,57.1,Thin,NO,6/25/2015,78
BCI,TH14285,19082,Hura crepitans,98,Thin,NO,6/25/2015,62
BCI,TH14288,19106,Pseudobombax septenatum,102.4,Thin,NO,6/25/2015,100
BCI,TH14289,47012,Tabebuia rosea,59,Thick,NO,6/22/2015,97
BCI,TH14291,19102,Spondias radlkoferi,32.2,NA,NO,6/25/2015,95
BCI,TH14294,19577,Trichilia tuberculata,30,Thin,NO,6/23/2015,55
BCI,TH14299,19467,Virola sebifera,29.9,Thin,NO,6/24/2015,100
BCI,TH14303,19516,Tabebuia rosea,34,Thick,NO,6/24/2015,100
BCI,TH14304,19206,Virola surinamensis,64.4,Thin,NO,6/23/2015,0
BCI,TH14305,19663,Tabebuia guayacan,21.6,Thick,NO,6/24/2015,76
SCBI,TH30233,30233,Fagus grandifolia,105.89,Thin,NO,5/5/2014,90
SCBI,TH33392,30339_2,Liriodendron tulipifera,49.34,Thick,NO,5/5/2014,91
SCBI,TH33393,30339_3,Liriodendron tulipifera,14.87,Thick,NO,5/5/2014,100
SCBI,TH40563,40563,Fagus grandifolia,36.4,Thin,NO,5/5/2014,100
SCBI,TH40568,40568,Fagus grandifolia,16.94,Thin,NO,5/5/2014,98
SCBI,TH40569,40569,Liriodendron tulipifera,28.9,Thick,NO,5/5/2014,62
SCBI,TH40579,40579,Dead,62.6,Thick,NO,5/5/2014,100
SCBI,TH50650,50650,Liriodendron tulipifera,18,Thick,NO,5/5/2014,100
SCBI,TH50654,50654,Liriodendron tulipifera,69.98,Thick,NO,5/5/2014,100
SCBI,TH60453,60453,Dead,19.8,Thin,NO,5/5/2014,73
SCBI,TH60458,60458,Fagus grandifolia,26.7,Thin,NO,5/5/2014,98
SCBI,TH60462,60462,Fagus grandifolia,20.73,Thin,NO,5/5/2014,56
SERC,TH14000,7005,Carya glabra,19.4,Thick,NO,6/15/2015,0
SERC,TH14225,58,Quercus alba,32,Thick,NO,6/15/2015,100
SERC,TH14226,7089,Fagus grandifolia,44.75,Thin,YES,6/15/2015,0
SERC,TH14227,7099,Carya tomentosa,24.9,Thick,YES,6/15/2015,100
SERC,TH14228,11,Carya tomentosa,57.4,Thick,NO,6/15/2015,97
SERC,TH14229,3,Carya tomentosa,20.4,Thick,NO,6/15/2015,98
SERC,TH14232,7006,Quercus falcata,73.4,Thick,NO,6/15/2015,0
SERC,TH14233,7012,Liriodendron tulipifera,37.1,Thick,NO,6/15/2015,100
SERC,TH14235,7084,Quercus falcata,111.6,Thick,YES,6/15/2015,78
SERC,TH14237,7100,Carya tomentosa,26.4,Thick,YES,6/15/2015,0
SERC,TH14238,179,Liriodendron tulipifera,69.3,Thick,NO,6/15/2015,100
SERC,TH14240,7003,Fagus grandifolia,23.7,Thin,NO,6/15/2015,100
SERC,TH14241,7087,Liquidambar styraciflua,60,Thick,YES,6/15/2015,78
SERC,TH14242,7011,Quercus falcata,44.1,Thick,NO,6/15/2015,87
SERC,TH14243,7088,Fagus grandifolia,27.8,Thin,YES,6/15/2015,100
SERC,TH14246,7097,Fagus grandifolia,34.2,Thin,YES,6/15/2015,84
SERC,TH14247,7098,Fagus grandifolia,25.8,Thin,YES,6/15/2015,100
SERC,TH14251,5,Liquidambar styraciflua,57.7,Thick,NO,6/15/2015,0
SERC,TH14259,7014,Fagus grandifolia,35.4,Thin,NO,6/15/2015,100
SERC,TH14263,7093,Dead,36.4,Thick,YES,6/15/2015,100
SERC,TH14265,7009,Acer rubra,19.1,Thin,NO,6/15/2015,0
SERC,TH14267,7020,Carya tomentosa,28.9,Thick,NO,6/15/2015,100
SERC,TH14272,7004,Fagus grandifolia,28.7,Thin,NO,6/15/2015,0
SERC,TH14273,7002,Fagus grandifolia,47,Thin,NO,6/15/2015,100
SERC,TH14278,7016,Liriodendron tulipifera,50.1,Thick,NO,6/15/2015,85
SERC,TH14282,59,Fagus grandifolia,34.8,Thin,NO,6/15/2015,100
SERC,TH14286,7019,Liriodendron tulipifera,41,Thick,NO,6/15/2015,100
SERC,TH14287,7085,Liriodendron tulipifera,102,Thick,YES,6/15/2015,100
SERC,TH14292,7018,Fagus grandifolia,16.15,Thin,NO,6/15/2015,100
SERC,TH14293,7086,Liriodendron tulipifera,65,Thick,YES,6/15/2015,100
SERC,TH14295,NA,Quercus sp.,68.3,Thick,NO,6/15/2015,80
SERC,TH14297,7015,Fagus grandifolia,48.9,Thin,NO,6/15/2015,100
SERC,TH14300,170,Liriodendron tulipifera,17.1,Thick,NO,6/15/2015,98
SERC,TH14301,60,Liquidambar styraciflua,33.6,Thick,NO,6/15/2015,80
SERC,TH14306,NA,Carya tomentosa,37.5,Thick,NO,6/15/2015,100
WFDP,TH14031,32-0741,Pseudotsuga menziessi,115,Thick,NO,4/21/2015,100
WFDP,TH14032,34-0834,Pseudotsuga menziessi,59.5,Thick,NO,4/20/2015,100
WFDP,TH14033,36-0449,Dead,57.2,Thick,NO,4/20/2015,100
WFDP,TH14034,38-0586,Pseudotsuga menziessi,122.5,Thick,NO,4/21/2015,100
WFDP,TH14035,40-0766,Pseudotsuga menziessi,168.2,Thick,NO,4/21/2015,100
WFDP,TH14036,35-0389,Tsuga heterophylla,97.7,Thick,NO,4/21/2015,100
WFDP,TH14037,36-0594,Pseudotsuga menziessi,73.7,Thick,NO,4/21/2015,100
WFDP,TH14038,36-0527,Thuja plicata,30.2,Thick,NO,4/20/2015,100
WFDP,TH14039,32-0328,Pseudotsuga menziessi,107,Thick,NO,4/21/2015,100
WFDP,TH14040,31-0690,Thuja plicata,105.6,Thick,NO,4/21/2015,100
WFDP,TH14041,35-0651,Dead,20.1,Thick,NO,4/20/2015,100
WFDP,TH14042,35-0401,Abies amabilis,51.7,Thick,NO,4/20/2015,100
WFDP,TH14043,37-0684,Thuja plicata,180.7,Thick,NO,4/21/2015,100
WFDP,TH14044,33-0450,Abies amabilis,25.7,Thick,NO,4/20/2015,100
WFDP,TH14045,39-0417,Pseudotsuga menziessi,87.8,Thick,NO,4/20/2015,100
WFDP,TH14046,34-0412,Tsuga heterophylla,128.8,Thick,NO,4/21/2015,79
WFDP,TH14047,32-0816,Abies amabilis,14.4,Thick,NO,4/20/2015,100
WFDP,TH14048,37-0653,Taxus brevifolia,41.8,Thin,NO,4/21/2015,100
WFDP,TH14049,37-0349,Thuja plicata,83.7,Thick,NO,4/21/2015,100
WFDP,TH14050,33-0335,Thuja plicata,49.7,Thick,NO,4/20/2015,72
WFDP,TH14051,32-0344,Thuja plicata,38.7,Thick,NO,4/20/2015,100
WFDP,TH14052,31-0615,Thuja plicata,19.6,Thick,NO,4/20/2015,100
WFDP,TH14053,32-0664,Thuja plicata,68,Thick,NO,4/21/2015,100
WFDP,TH14054,31-0733,Abies amabilis,46.4,Thick,NO,4/21/2015,100
WFDP,TH14055,32-0659,Tsuga heterophylla,27.8,Thick,NO,4/20/2015,100
WFDP,TH14056,31-0742,Pseudotsuga menziessi,143.4,Thick,NO,4/20/2015,100
WFDP,TH14057,32-0801,Dead,128.1,Thick,NO,4/21/2015,0
WFDP,TH14058,38-0546,Taxus brevifolia,33.9,Thin,NO,4/20/2015,100
WFDP,TH14059,38-0498,Thuja plicata,126.1,Thick,NO,4/21/2015,100
WFDP,TH14060,33-0373,Tsuga heterophylla,16,Thick,NO,4/20/2015,100
WFDP,TH14121,36-0696,Tsuga heterophylla,39,Thick,NO,4/20/2015,100
WFDP,TH14122,32-0400,Taxus brevifolia,23.1,Thin,NO,4/20/2015,100
WFDP,TH14123,38-0505,Tsuga heterophylla,77,Thick,NO,4/21/2015,100
WFDP,TH14124,34-0381,Pseudotsuga menziessi,135.7,Thick,NO,4/21/2015,0
WFDP,TH14125,40-0718,Tsuga heterophylla,101.1,Thick,NO,4/21/2015,100
WFDP,TH14126,32-0484,Taxus brevifolia,14.9,Thin,NO,4/20/2015,100
WFDP,TH14127,35-0667,Taxus brevifolia,46.3,Thin,NO,4/20/2015,0
WFDP,TH14128,31-0354,Abies amabilis,38.7,Thick,NO,4/20/2015,100
WFDP,TH14129,36-0344,Tsuga heterophylla,77.7,Thick,NO,4/21/2015,100
WFDP,TH14130,33-0825,Tsuga heterophylla,55.6,Thick,NO,4/20/2015,100
